MZ,Intensity
50.08175659,6984.858398
50.62267303,7719.418945
50.70529938,7185.290039
50.73297882,7509.139648
50.83847809,9366.624023
50.88303375,8012.807617
51.12829971,8361.243164
51.30900574,6708
51.43115997,7112.865234
51.6385231,7827.120117
51.7419014,6882.736328
51.75004578,7208.272461
51.86535645,6502.242188
51.92988968,6414.687988
52.08864212,7859.458008
52.3655777,7230.091797
52.36742783,7352.313477
52.47909546,7986.375977
52.49398804,7309.458984
52.55782318,7248.758301
52.63179016,7287.785645
52.68054962,8776.390625
52.82076263,7131.030273
52.98602295,7406.829102
53.11785126,6767.485352
53.23492432,7974.375488
53.29469299,6643.287598
53.37104797,8393.571289
53.40969467,7218.95459
53.44728088,7117.707031
54.11117172,7613.911621
54.11386871,8268.457031
54.13274765,6323.658203
54.23224258,6849.189453
54.24351501,6408.046387
54.28971481,7983.744141
54.59170151,7541.933105
54.67261505,6894.375977
54.86933517,7508.933105
55.00205994,7143.668457
55.1922226,8843.060547
55.54560471,7902.996582
55.78029251,8092.259766
56.04966354,7871.170898
56.06135941,7600.814941
56.14120102,8287.148438
56.14663696,8899.532227
56.23750305,7860.009766
56.84006882,7161.256348
56.86165619,7583.636719
56.95769882,7358.13623
56.95903397,8031.229004
57.4692421,7641.710938
57.48793411,7469.519531
57.56719208,6612.35791
57.56811142,6520.102051
57.78200531,8524.716797
58.56497192,7156.819336
58.56903839,7730.043457
58.67083359,8393.027344
58.75348282,7956.246582
58.79808426,6464.759766
58.97666168,7135.397461
59.10896301,7499.388184
59.15927124,7435.592285
59.24286652,7045.51123
59.55373383,7728.57373
60.18458939,7198.344238
60.24970627,6223.98877
60.4667244,9620.540039
60.62661362,6969.987793
60.8332901,8394.34668
60.94371414,7708.333008
61.03153229,7869.866211
61.18349838,7574.207031
61.28803253,7082.556152
61.34989548,10011.0498
61.48854065,7563.66748
61.52454758,8655.84082
63.24206161,9450.40625
63.54120636,7151.356445
63.71825409,9249.416016
63.7728653,7803.567383
64.13358307,7291.642578
64.25434875,8844.103516
64.57987213,9248.543945
64.93109894,7256.97998
65.15026855,7944.458496
65.18656921,7188.966309
65.37355804,7140.923828
65.6001358,8137.287598
65.73226166,7386.178711
65.80865479,7868.725098
65.83716583,9260.00293
66.15645599,7352.03125
66.20007324,8727.84668
66.27991486,7357.561035
66.36403656,8416.327148
66.56420898,8965.439453
66.84278107,9624.391602
67.02890778,7296.5625
67.42221832,7800.399902
67.42421722,8686.69043
67.45545959,7851.421875
67.82770538,7784.779785
67.96202087,7479.597168
68.06014252,7529.074707
68.29225922,10117.72461
68.78152466,8683.423828
68.86811829,8861.027344
68.88665009,7193.745605
69.25611877,7232.611816
69.38428497,7061.813477
69.6267395,6790.02002
69.83013916,7028.072266
69.94058228,9573.251953
69.97160339,8060.162598
70.50931549,7721.246094
70.65578461,7180.710938
70.7073288,7585.417969
71.12168884,6713.473145
71.28072357,8863.985352
71.46569061,9719.444336
71.4949646,7219.953613
71.69822693,9370.457031
71.92974854,7346.120605
72.05327606,7860.272461
72.30458069,6784.691895
72.50263977,7779.610352
72.95361328,7080.855957
73.35557556,7501.180664
73.79263306,7900.290527
73.90331268,7773.283691
74.01200104,11276.28809
74.14876556,7348.120605
75.03627777,8201.666016
75.20562744,8074.056152
75.2562561,8715.962891
75.29061127,7855.088379
75.30943298,7778.061035
75.67910004,7875.002441
75.79476166,8048.36084
76.36457825,7290.587891
76.47267914,7941.353516
76.7326355,8646.864258
76.90868378,8867.352539
