"","MZ","Intensity"
"1",50.2005500793457,7915.9404296875
"2",51.1292495727539,7983.27783203125
"3",51.1458129882812,6653.95361328125
"4",51.2276000976562,7671.78466796875
"5",51.6533317565918,7693.6083984375
"6",51.7367744445801,8574.455078125
"7",51.9334106445312,7024.33740234375
"8",51.960765838623,8317.0087890625
"9",52.1126708984375,7796.634765625
"10",52.3375854492188,6532.1123046875
"11",53.7154922485352,7423.1455078125
"12",53.9641532897949,7241.34033203125
"13",55.346019744873,8017.46728515625
"14",55.4474411010742,7222.57080078125
"15",55.5657691955566,7347.9541015625
"16",55.6445770263672,6944.04638671875
"17",56.1604537963867,6681.67529296875
"18",56.3548812866211,8592.318359375
"19",56.356819152832,8417.1025390625
"20",56.4144515991211,6442.69140625
"21",56.7723388671875,7384.04931640625
"22",56.8991546630859,7396.65380859375
"23",57.2142906188965,6431.11083984375
"24",57.337818145752,7126.0322265625
"25",57.6784591674805,7673.6083984375
"26",57.9585838317871,7065.86376953125
"27",57.9995994567871,7001.6875
"28",58.154598236084,7219.65478515625
"29",58.2224922180176,6901.53857421875
"30",58.463249206543,8732.888671875
"31",58.7739410400391,7746.61083984375
"32",59.0587310791016,7689.70263671875
"33",59.195499420166,7298.45458984375
"34",59.871223449707,7091.599609375
"35",59.9115333557129,7295.7451171875
"36",60.3713150024414,8184.869140625
"37",60.5207557678223,7694.828125
"38",60.5731925964355,6981.93798828125
"39",60.6155891418457,8277.6083984375
"40",60.946460723877,7580.56640625
"41",61.1730880737305,6591.8173828125
"42",61.2160987854004,7251.15576171875
"43",61.4147682189941,7969.6298828125
"44",61.4158210754395,8440.5966796875
"45",61.4808158874512,7271.65234375
"46",61.5854568481445,7001.09521484375
"47",61.9334487915039,7749.7822265625
"48",61.9565391540527,6473.6064453125
"49",62.4047012329102,8359.96875
"50",63.0951652526855,6403.77294921875
"51",64.0609512329102,7977.84619140625
"52",64.1381454467773,6344.20458984375
"53",64.254280090332,6861.951171875
"54",64.3347473144531,7472.0078125
"55",64.478141784668,7805.1943359375
"56",64.579719543457,9988.275390625
"57",64.8955230712891,6404.42626953125
"58",64.9825592041016,6884.51513671875
"59",65.0262985229492,7390.78173828125
"60",65.1804046630859,6876.55126953125
"61",65.3194808959961,9466.5615234375
"62",65.3757858276367,5734.51171875
"63",65.5110702514648,6793.22021484375
"64",65.6409454345703,6519.7568359375
"65",65.905647277832,9351.7548828125
"66",66.2534408569336,9593.470703125
"67",66.371208190918,7576.89013671875
"68",66.4332656860352,6439.275390625
"69",66.7042007446289,6697.76171875
"70",67.5640258789062,8174.71630859375
"71",67.8909606933594,7730.62109375
"72",67.8960571289062,7426.18017578125
"73",67.9825744628906,6712.1015625
"74",68.2376480102539,8380.3330078125
"75",68.708251953125,7097.48681640625
"76",68.9541931152344,6792.4931640625
"77",69.0520706176758,6717.46044921875
"78",69.8409881591797,6480.7880859375
"79",69.9638061523438,7581.240234375
"80",70.1949005126953,7006.50927734375
"81",70.3509521484375,6889.10791015625
"82",70.4115676879883,6739.52001953125
"83",70.7080078125,7275.236328125
"84",70.9982376098633,6874.1875
"85",71.3585205078125,8223.0341796875
"86",71.9112777709961,7577.30126953125
"87",72.1332244873047,7379.7802734375
"88",72.1719512939453,9756.1064453125
"89",72.4701766967773,6378.8369140625
"90",72.4968643188477,7711.466796875
"91",72.825927734375,6536.076171875
"92",72.94970703125,6615.91796875
"93",73.4034805297852,6957.5029296875
"94",73.5134658813477,6337.54150390625
"95",73.941032409668,7909.61328125
"96",73.9504547119141,8366.4208984375
"97",74.0031967163086,6863.22265625
"98",74.0120162963867,11892.1953125
"99",74.1353225708008,8524.505859375
"100",74.7365112304688,7415.28466796875
"101",75.1043319702148,6212.11669921875
"102",75.1494064331055,6375.07666015625
"103",75.1961288452148,7851.65673828125
"104",75.3226776123047,8053.8408203125
"105",75.6883163452148,7424.93701171875
"106",76.5749664306641,7337.3564453125
"107",77.1589889526367,7203.2021484375
"108",77.1682662963867,6816.1826171875
"109",77.2068099975586,7327.80859375
"110",77.4952087402344,7117.77001953125
"111",77.7132873535156,7924.07470703125
"112",77.9326934814453,7388.345703125
"113",78.0441131591797,7913.2529296875
"114",78.0996398925781,7118.806640625
"115",78.1106643676758,8678.4931640625
"116",78.2624130249023,8473.2314453125
"117",78.5170135498047,7767.21044921875
"118",78.690071105957,6949.76220703125
"119",78.8523101806641,9285.0078125
"120",78.9932632446289,7399.42626953125
"121",79.0743789672852,7297.55517578125
"122",79.3114929199219,7300.91259765625
"123",79.6113891601562,7608.8515625
"124",80.9432220458984,7465.896484375
"125",81.0716705322266,8601.962890625
"126",81.2023239135742,7891.85693359375
"127",81.3729705810547,8864.7236328125
"128",81.6901397705078,6903.046875
"129",82.327392578125,6561.17626953125
"130",82.3361206054688,7203.3134765625
"131",82.5429077148438,6497.08349609375
"132",82.7145462036133,6926.7861328125
"133",83.1125106811523,8072.34814453125
"134",83.179801940918,7308.705078125
"135",83.5529632568359,7391.1572265625
"136",83.6527786254883,7344.646484375
"137",84.3150329589844,7228.1875
"138",85.9202880859375,6751.79345703125
"139",85.9975814819336,7856.5068359375
"140",86.1908569335938,7159.92919921875
"141",86.4696426391602,7538.3427734375
"142",87.8611907958984,7103.4755859375
"143",88.1113204956055,8091.58740234375
"144",88.5231399536133,10275.986328125
"145",88.5238265991211,11118.197265625
"146",88.5845031738281,6949.17919921875
"147",88.6874694824219,6883.84130859375
"148",88.8834075927734,6817.630859375
"149",88.9249038696289,6497.08154296875
"150",88.9704360961914,7316.2705078125
