MZ,Intensity
50.08175659,1000
50.62267303,1000
50.70529938,1000
50.73297882,1000
50.83847809,1000
50.88303375,1000
51.12829971,1000
51.30900574,1000
51.43115997,1000
51.6385231,1000
51.7419014,1000
51.75004578,1000
51.86535645,1000
51.92988968,1000
52.08864212,1000
52.3655777,1000
52.36742783,1000
52.47909546,1000
52.49398804,1000
52.55782318,1000
52.63179016,1000
52.68054962,1000
52.82076263,1000
52.98602295,1000
53.11785126,1000
53.23492432,1000
53.29469299,1000
53.37104797,1000
53.40969467,1000
53.44728088,1000
54.11117172,1000
54.11386871,1000
54.13274765,1000
54.23224258,1000
54.24351501,1000
54.28971481,1000
54.59170151,1000
54.67261505,1000
54.86933517,1000
55.00205994,1000
55.1922226,1000
55.54560471,1000
55.78029251,1000
56.04966354,1000
56.06135941,1000
56.14120102,1000
56.14663696,1000
56.23750305,1000
56.84006882,1000
56.86165619,1000
56.95769882,1000
56.95903397,1000
57.4692421,1000
57.48793411,1000
57.56719208,1000
57.56811142,1000
57.78200531,1000
58.56497192,1000
58.56903839,1000
58.67083359,1000
58.75348282,1000
58.79808426,1000
58.97666168,1000
59.10896301,1000
59.15927124,1000
59.24286652,1000
59.55373383,1000
60.18458939,1000
60.24970627,1000
60.4667244,1000
60.62661362,1000
60.8332901,1000
60.94371414,1000
61.03153229,1000
61.18349838,1000
61.28803253,1000
61.34989548,1000
61.48854065,1000
61.52454758,1000
63.24206161,1000
63.54120636,1000
63.71825409,1000
63.7728653,1000
64.13358307,1000
64.25434875,1000
64.57987213,1000
64.93109894,1000
65.15026855,1000
65.18656921,1000
65.37355804,1000
65.6001358,1000
65.73226166,1000
65.80865479,1000
65.83716583,1000
66.15645599,1000
66.20007324,1000
66.27991486,1000
66.36403656,1000
66.56420898,1000
66.84278107,1000
67.02890778,1000
67.42221832,1000
67.42421722,1000
67.45545959,1000
67.82770538,1000
67.96202087,1000
68.06014252,1000
68.29225922,1000
68.78152466,1000
68.86811829,1000
68.88665009,1000
69.25611877,1000
69.38428497,1000
69.6267395,1000
69.83013916,1000
69.94058228,1000
69.97160339,1000
70.50931549,1000
70.65578461,1000
70.7073288,1000
71.12168884,1000
71.28072357,1000
71.46569061,1000
71.4949646,1000
71.69822693,1000
71.92974854,1000
72.05327606,1000
72.30458069,1000
72.50263977,1000
72.95361328,1000
73.35557556,1000
73.79263306,1000
73.90331268,1000
74.01200104,1000
74.14876556,1000
75.03627777,1000
75.20562744,1000
75.2562561,1000
75.29061127,1000
75.30943298,1000
75.67910004,1000
75.79476166,1000
76.36457825,1000
76.47267914,1000
76.7326355,1000
76.90868378,1000
77.52485657,1000
77.71125031,1000
78.10623169,1000
78.30924225,1000
78.62223053,1000
78.74555206,1000
79.014328,1000
79.77684021,1000
80.20297241,1000
80.21033478,1000
80.34210205,1000
80.35656738,1000
80.37341309,1000
80.48159027,1000
80.55845642,1000
80.57707214,1000
80.87595367,1000
81.49203491,1000
81.60024261,1000
81.98959351,1000
82.00865936,1000
82.15306091,1000
82.44859314,1000
82.61743164,1000
82.77644348,1000
83.48096466,1000
83.86218262,1000
83.87693024,1000
84.04484558,1000
84.12284851,1000
84.32364655,1000
84.94583893,1000
85.84207153,1000
86.25869751,1000
86.85952759,1000
87.44298553,1000
87.63227844,1000
